Sheher,Marka,Model,Buraxilish ili,Ban novu,Reng,Muherrikin hecmi,Muherrikin gucu,Yanacaq novu,Yurush,Suretler qutusu,Oturucu,Yeni,Qiymet,Extra Info,Seller comment
Sumqayıt,Mercedes,C 200,1999,Sedan,Qara,2.0 L,175 a.g.,Benzin,366 000 km,Avtomat,Arxa,Xeyr,12500 AZN,Kreditdədir,Barter mümkündür
Bakı,Mercedes,C 180,2014,Sedan,Qara,1.6 L,167 a.g.,Benzin,102 000 km,Avtomat,Arxa,Xeyr,31500 $,Barter mümkündür,"Yüngül lehimli disklər,ABS,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası"
Sumqayıt,Mercedes,C 240,2002,Sedan,Qara,2.6 L,177 a.g.,Benzin,469 700 km,Avtomat,Arxa,Xeyr,11700 AZN,Kreditdədir,Barter mümkündür
Şirvan,Mercedes,C 180,1998,Sedan,Göy,1.8 L,125 a.g.,Benzin,556 680 km,Avtomat,Arxa,Xeyr,9700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Oturacaqların isidilməsi,Dəri salon","Mawin BAKIDADI. Tecili satilir yaxwi veziyetdedir mator karopka most ela veziyetdedir . Tek prablemi 
 vozduxamer iwlemir oda  ya pulundan cixaram yada alib qoyaram. bawqa prabelmi yoxdu otur sur mawindi real aliciya endirim olacaq. "
Sumqayıt,Mercedes,C 220,2000,Sedan,Gümüşü,2.2 L,150 a.g.,Dizel,300 000 km,Avtomat,Arxa,Xeyr,12700 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Park radarı,Kondisioner",Vurugu udari deyisen detali curuyu qetiyyen yoxdur.Kuza idealdi. Sadece sekilde gorsenen yerlere kosmetik olarag renglenmeye ehtiyac var.mator karopka kondisioner pec sidenya qizdiranlar ela isleyir.Peredokda hec bir xerc yoxdur.coooxxx qenaetcil masindi.
Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,200 000 km,Avtomat,Arxa,Xeyr,11200 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Mərkəzi qapanma,Kondisioner,Dəri salon,Ksenon lampalar","Maşın Təcili satılır. əla vəziyyətdədir.heç bir problemi yoxdu. 2.3 kompressor. AMG disklər.4 təzə təkər. mator,karobka,perodok əladi.gündəlik sürülən maşındi.harda isdəsəz yoxlatdıra bilərsiz.xahiş olunur yalnız real alıcılar narahat eləsin.real alıcı ilə qiymətdə razılaşmaq olar."
Bakı,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,187 000 km,Avtomat,Arxa,Xeyr,13800 AZN,Barter mümkündür,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner"
Bakı,Mercedes,C 230,1998,Sedan,Qara,2.3 L,150 a.g.,Qaz,309 200 km,Avtomat,Arxa,Xeyr,11400 AZN,"Yüngül lehimli disklər,ABS,Lyuk,Kondisioner,Dəri salon,Yan pərdələr",salam  mercedes c230 kompressor avtomobili satiram.avtomobil ozume mexsusdu ve oz adimadir.satmaqda meqsedim pul lazim olduqu ucundur.avtomobilin matorunda hec bir problem yoxdur.matorun her bir zapcasti tezelenib.yaq yemek sohbeti yoxdur.avtomobil hem benzin hemde qaznan isliyir. eko qaz sirketinde qaz qurasdirilib.qanuni seneti ve sertifkati var.2il qaranti daxil.5azn qaz yanacaqi vurduqda 100km yol gede bilersiz.isteyen subhesi olan yoxluyada biler.2000azn masnin avtobilinde qaza qurasdirmaq ucun xerc cekilib.avtomobilde sadece peradoka el gezdirmek lazimdir.matorun yagi. svecalari teze deyisilib.sekildeki avtomobildir.fikri ciddi olanlar narahat etsin.vatsapdada elaqe saxliya bilersiz.masin buzovna qesebesindedir.
Lənkəran,Mercedes,C 200,1994,Sedan,Gümüşü,2.0 L,111 a.g.,Benzin,426 872 km,Avtomat,Arxa,Xeyr,8500 AZN,"Yüngül lehimli disklər,ABS,Mərkəzi qapanma,Kondisioner,Yan pərdələr",Masin saz veziyetdedi hec bir xerc teleb edmir xais edirem fikiri ciddi olanlar narahat edsin bos bos narahat edmeyin masina baxdiqdan sira qiymetde cuzi endirim olacaq
Bakı,Mercedes,C 200,1999,Sedan,Qırmızı,2.0 L,136 a.g.,Benzin,240 000 km,Avtomat,Arxa,Xeyr,6800 AZN,Kreditdədir,Barter mümkündür
